"","O_name_En_Website","Short_name_En_Website","Country_name","Continent_name","Continent_ID","ISO3_country","ISO3_territory","O_Name_En_Emmanuel","O_Name_En_Stefania","Romname_Emmanuel","Maplab_Emmanuel","Short_name_En_Website2"
"144","the Republic of Malta","Malta","Malta","Europe","EUR","MLT","MLT","the Republic of Malta","the Republic of Malta","Malta","Malta","Malta"
"145","the Republic of the Marshall Islands","Marshall Islands (the)","Marshall Islands","Oceania","OCE","MHL","MHL","the Republic of the Marshall Islands","the Republic of the Marshall Islands","Marshall Islands","Marshall Islands","Marshall Islands"
"146","the Islamic Republic of Mauritania","Mauritania","Mauritania","Africa","AFR","MRT","MRT","the Islamic Republic of Mauritania","the Islamic Republic of Mauritania","Mauritania","Mauritania","Mauritania"
"147","the Republic of Mauritius","Mauritius","Mauritius","Africa","AFR","MUS","MUS","the Republic of Mauritius","the Republic of Mauritius","Mauritius","Mauritius","Mauritius"
"148","the Republic of Mauritius","Mauritius","Mauritius","Asia","ASI","MUS","MUS","the Republic of Mauritius","the Republic of Mauritius","Chagos Archipelago","Chagos Archipelago (Mauritius)","Mauritius"
"149","the United Mexican States","Mexico","Mexico","America","AME","MEX","MEX","the United Mexican States","the United Mexican States","Mexico","Mexico","Mexico"
"150","the Federated States of Micronesia","Federated States of Micronesia (the)","Micronesia, Fed.States of","Oceania","OCE","FSM","FSM","the Federated States of Micronesia","the Federated States of Micronesia","Micronesia (Federated States of)","Micronesia (Federated States of)","Micronesia (Federated States of)"
"151","the Republic of Moldova","Republic of Moldova (the)","Moldova, Republic of","Europe","EUR","MDA","MDA","the Republic of Moldova","the Republic of Moldova","Moldova","Moldova","Republic of Moldova"
"152","the Principality of Monaco","Monaco","Monaco","Europe","EUR","MCO","MCO","the Principality of Monaco","the Principality of Monaco","Monaco","Monaco","Monaco"
"153","Mongolia","Mongolia","Mongolia","Asia","ASI","MNG","MNG","Mongolia","Mongolia","Mongolia","Mongolia","Mongolia"
"154","Montenegro","Montenegro","Montenegro","Europe","EUR","MNE","MNE","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro"
"155","the Kingdom of Morocco","Morocco","Morocco","Africa","AFR","MAR","MAR","the Kingdom of Morocco","the Kingdom of Morocco","Morocco","Morocco","Morocco"
"156","the Republic of Mozambique","Mozambique","Mozambique","Africa","AFR","MOZ","MOZ","the Republic of Mozambique","the Republic of Mozambique","Mozambique","Mozambique","Mozambique"
"157","the Republic of the Union of Myanmar","Myanmar","Myanmar","Asia","ASI","MMR","MMR","the Republic of the Union of Myanmar","the Republic of the Union of Myanmar","Myanmar","Myanmar","Myanmar"
"158","the Republic of Namibia","Namibia","Namibia","Africa","AFR","NAM","NAM","the Republic of Namibia","the Republic of Namibia","Namibia","Namibia","Namibia"
"159","the Republic of Nauru","Nauru","Nauru","Oceania","OCE","NRU","NRU","the Republic of Nauru","the Republic of Nauru","Nauru","Nauru","Nauru"
"160",NA,NA,"Nepal","Asia","ASI","NPL","NPL","Federal Democratic Republic of Nepal",NA,"Nepal","Nepal",NA
"161","Aruba","Aruba","Netherlands","America","AME","NLD","ABW","Aruba","Aruba","Aruba","Aruba (Neth.)","Aruba"
"162","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Netherlands","America","AME","NLD","BES","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Saba","Saba (Neth.)","Bonaire, Sint Eustatius and Saba"
"163","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Netherlands","America","AME","NLD","BES","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Sint Eustatius","Sint Eustatius (Neth.)","Bonaire, Sint Eustatius and Saba"
"164","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Netherlands","America","AME","NLD","BES","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Bonaire","Bonaire (Neth.)","Bonaire, Sint Eustatius and Saba"
"165","the Kingdom of the Netherlands","Kingdom of the Netherlands (the)","Netherlands","Europe","EUR","NLD","NLD","the Kingdom of the Netherlands","the Kingdom of the Netherlands","Netherlands","Netherlands","Netherlands (Kingdom of the)"
"166",NA,NA,"Netherlands","Europe","EUR","NLD","CUW","Cura�ao",NA,"Curacao","Cura�ao (Neth.)",NA
"167",NA,NA,"Netherlands","Europe","EUR","NLD","SXM","Sint Maarten (Dutch Part)",NA,"Sint Maarten","Sint Maarten (Neth.)",NA
